IFRS(연결),2022/12,2023/12,2024/12,2025/06
자산,230498.0,246408.0,263148.0,263052.0
유동자산계산에 참여한 계정 펼치기,80989.0,96416.0,100490.0,99898.0
비유동자산계산에 참여한 계정 펼치기,149509.0,149993.0,162658.0,163154.0
기타금융업자산,,,,
부채,129695.0,137993.0,146537.0,146769.0
유동부채계산에 참여한 계정 펼치기,80595.0,95968.0,89458.0,88332.0
비유동부채계산에 참여한 계정 펼치기,49100.0,42026.0,57079.0,58437.0
기타금융업부채,,,,
자본,100803.0,108415.0,116611.0,116283.0
지배기업주주지분계산에 참여한 계정 펼치기,71133.0,71174.0,74966.0,75810.0
비지배주주지분,29670.0,37241.0,41645.0,40473.0
